table,rowlabel,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,n_missing,flag_many_missing
30,18 AND ABOVE,111966,,,97203,,14763,,53805,,51718,,2087,6,1
29,18 AND ABOVE,,243839,,152177,,91662,,121241,,112101,,9140,6,1
28,18 AND ABOVE,,213033,,,163475,,49558,,106244,,95981,,7,1
27,18 AND ABOVE,287718,,240557,,47161,,135947,,125533,,10414,,6,1
26,OVERALL
18 AND ABOVE,,,407706,348641,,59065,203115,190875,,12240,204531,157723,4,1
25,18 AND ABOVE,,354839,,314443,,40396,,172063,,162082,,,7,1
24,18 AND ABOVE,400062,,322202,,77860,,185267,,170744,,14523,,6,1
23,18 AND ABOVE,,658459,,539051,,119408,,308591,,287674,,20917,6,1
22,18 AND ABOVE,,1105968,,985735,,120233,,548460,,515599,,32861,6,1
21,18 AND ABOV,,339747,,,301203,,38544,,166504,,157806,,7,1
20,18 AND ABOVE,,245314,,214169,,31145,,121837,,115100,,6737,6,1
19,18 AND ABOVE,,416283,,362510,,53773,,196886,,184141,,,7,1
18,18 AND ABOVE,2045034,1690418,,354616,,1047920,,955035,,92885,,996559,5,1
17,18 AND ABOVE,770192,,667700,,102492,,395665,,371681,,23984,,6,1
16,18 AND ABOVE,,805875,,694401,,111474,,401973,,378731,,23242,6,1
15,18 AND ABOVE,844701,,730683,,114018,,412559,,389939,,,22620,6,1
14,18 AND ABOVE,,1201012,,1015518,,185494,,595579,,557389,,38190,6,1
13,18 AND ABOVE,,514059,,443777,,70282,,247263,,231112,,16151,6,1
12,18 AND ABOVE,,348037,,310794,,37243,,163818,,154913,,8905,6,1
11,18 AND ABOVE,,238869,,195455,,43414,,104750,,97837,,,7,1
10,OVERALL
18 AND ABOVE,,346656,,208547,,138109,,180955,,130068,,50887,6,1
9,18 AND ABOVE,,78463,,65847,,12616,,37899,,35482,,2417,6,1
8,18 AND ABOVE,809129,,706350,,102779,,388972,,368403,,20569,,6,1
7,18 AND ABOVE,,582585,,525351,,57234,,282599,,270058,,12541,6,1
6,18 AND ABOVE,,219233,,181846,,37387,,105002,,98095,,6907,6,1
5,18 AND ABOVE,,769115,,688194,,80921,,384955,,366849,,18106,6,1
4,18 AND ABOVE,,179183,,158102,,21081,,89106,,84377,,4729,6,1
3,18 AND ABOVE,797908,,685187,,112721,,405899,,378209,,27690,,6,1
2,18 AND ABOVE,,405242,,347978,,57264,,196215,,185148,,11067,6,1
1,18 AND ABOVE,,549366,,463708,,85658,,267930,,249918,,18012,6,1
