"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0600000US3301306260","Boscawen town, Merrimack County, New Hampshire","1356","132","989","141","367","107",
"0600000US3301306500","Bow town, Merrimack County, New Hampshire","2853","144","2580","165","273","88",
"0600000US3301306980","Bradford town, Merrimack County, New Hampshire","639","69","563","60","76","38",
"0600000US3301309860","Canterbury town, Merrimack County, New Hampshire","948","90","876","95","72","42",
"0600000US3301312420","Chichester town, Merrimack County, New Hampshire","1045","60","949","76","96","49",
"0600000US3301314200","Concord city, Merrimack County, New Hampshire","18189","436","10436","426","7753","488",
"0600000US3301316980","Danbury town, Merrimack County, New Hampshire","646","120","599","127","47","29",
"0600000US3301319460","Dunbarton town, Merrimack County, New Hampshire","1181","97","1123","99","58","37",
"0600000US3301324900","Epsom town, Merrimack County, New Hampshire","1998","141","1771","140","227","97",
"0600000US3301327380","Franklin city, Merrimack County, New Hampshire","3596","273","2242","274","1354","264",
"0600000US3301335540","Henniker town, Merrimack County, New Hampshire","2176","181","1374","211","802","195",
"0600000US3301335860","Hill town, Merrimack County, New Hampshire","349","55","313","48","36","28",
"0600000US3301337300","Hooksett town, Merrimack County, New Hampshire","5501","323","4299","324","1202","257",
"0600000US3301337540","Hopkinton town, Merrimack County, New Hampshire","2112","177","1839","188","273","123",
"0600000US3301343380","Loudon town, Merrimack County, New Hampshire","2241","154","1967","191","274","140",
"0600000US3301350900","Newbury town, Merrimack County, New Hampshire","759","104","675","95","84","35",
"0600000US3301352100","New London town, Merrimack County, New Hampshire","1628","119","1415","131","213","80",
"0600000US3301354260","Northfield town, Merrimack County, New Hampshire","1869","132","1416","126","453","155",
"0600000US3301360020","Pembroke town, Merrimack County, New Hampshire","2779","187","2013","226","766","184",
"0600000US3301361940","Pittsfield town, Merrimack County, New Hampshire","1746","155","1128","173","618","189",
"0600000US3301366980","Salisbury town, Merrimack County, New Hampshire","600","118","568","119","32","23",
"0600000US3301375460","Sutton town, Merrimack County, New Hampshire","863","164","829","163","34","19",
"0600000US3301378580","Warner town, Merrimack County, New Hampshire","1185","87","882","79","303","83",
"0600000US3301380020","Webster town, Merrimack County, New Hampshire","838","109","796","111","42","22",
"0600000US3301384900","Wilmot town, Merrimack County, New Hampshire","630","99","528","86","102","58",
"0600000US3301500000","County subdivisions not defined, Rockingham County, New Hampshire","0","12","0","12","0","12",
"0600000US3301502340","Atkinson town, Rockingham County, New Hampshire","2971","206","2792","238","179","82",
"0600000US3301502820","Auburn town, Rockingham County, New Hampshire","1998","178","1872","205","126","86",
"0600000US3301507220","Brentwood town, Rockingham County, New Hampshire","1557","158","1500","161","57","47",
"0600000US3301509300","Candia town, Rockingham County, New Hampshire","1532","119","1388","158","144","87",
"0600000US3301512100","Chester town, Rockingham County, New Hampshire","1827","115","1780","122","47","55",
"0600000US3301517140","Danville town, Rockingham County, New Hampshire","1764","99","1684","130","80","61",
"0600000US3301517460","Deerfield town, Rockingham County, New Hampshire","1606","126","1471","128","135","82",
"0600000US3301517940","Derry town, Rockingham County, New Hampshire","13049","447","9133","506","3916","506",
"0600000US3301521380","East Kingston town, Rockingham County, New Hampshire","842","105","808","105","34","21",
"0600000US3301524660","Epping town, Rockingham County, New Hampshire","3023","270","2581","309","442","146",
"0600000US3301525380","Exeter town, Rockingham County, New Hampshire","6811","297","4535","355","2276","337",
"0600000US3301527940","Fremont town, Rockingham County, New Hampshire","1779","98","1636","102","143","88",
"0600000US3301531700","Greenland town, Rockingham County, New Hampshire","1619","110","1415","120","204","99",
"0600000US3301532900","Hampstead town, Rockingham County, New Hampshire","3652","266","2992","266","660","193",
"0600000US3301533060","Hampton town, Rockingham County, New Hampshire","7659","306","5770","313","1889","281",
"0600000US3301533460","Hampton Falls town, Rockingham County, New Hampshire","873","97","738","95","135","51",
"0600000US3301539780","Kensington town, Rockingham County, New Hampshire","680","86","621","79","59","32",
"0600000US3301540100","Kingston town, Rockingham County, New Hampshire","2692","293","2135","295","557","350",
"0600000US3301543220","Londonderry town, Rockingham County, New Hampshire","9612","364","8176","399","1436","314",
"0600000US3301550980","New Castle town, Rockingham County, New Hampshire","439","90","402","87","37","30",
"0600000US3301551380","Newfields town, Rockingham County, New Hampshire","631","73","605","74","26","15",
"0600000US3301551620","Newington town, Rockingham County, New Hampshire","343","89","294","90","49","24",
"0600000US3301552340","Newmarket town, Rockingham County, New Hampshire","4313","195","2259","212","2054","258",
"0600000US3301552900","Newton town, Rockingham County, New Hampshire","1802","121","1623","129","179","97",
"0600000US3301554580","North Hampton town, Rockingham County, New Hampshire","2057","153","1841","143","216","121",
"0600000US3301556820","Northwood town, Rockingham County, New Hampshire","1653","177","1508","194","145","82",
"0600000US3301557460","Nottingham town, Rockingham County, New Hampshire","2021","121","1891","138","130","118",
"0600000US3301562500","Plaistow town, Rockingham County, New Hampshire","3180","222","2622","298","558","207",
"0600000US3301562900","Portsmouth city, Rockingham County, New Hampshire","10556","395","5499","445","5057","468",
"0600000US3301564020","Raymond town, Rockingham County, New Hampshire","4269","278","3478","290","791","215",
