district_id,table21,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13
109,18 AND ABOVE,102311,66818,35493,52518,41428,11090,49790,25388,24402,3,2,1
110,18 AND ABOVE,62688,37676,25012,31445,21030,10415,31242,16646,14596,1,1,
111,18 AND ABOVE,88009,77684,10325,49124,45218,3906,38870,32455,6415,15,11,4
112,18 AND ABOVE,428336,360036,68300,226665,194649,32016,201582,165319,36263,89,68,21
113,18 AND ABOVE,89096,68873,20223,43944,36507,7437,45133,32351,12782,19,15,4
114,18 AND ABOVE,156046,111743,44303,76894,62859,14035,79110,48862,30248,42,22,20
115,18 AND ABOVE,3770,3029,741,1874,1617,257,1895,1411,484,1,1,
116,18 AND ABOVE,113314,67271,46043,58159,43390,14769,55151,23878,31273,4,3,1
117,18 AND ABOVE,167309,108959,58350,82192,65355,16837,85116,43604,41512,1,1,
118,18 AND ABOVE,81481,56227,25254,40035,33186,6849,41438,23035,18403,8,6,2
119,18 AND ABOVE,91832,66837,24995,48231,39624,8607,43594,27208,16386,7,5,2
120,18 AND ABOVE,302228,170627,131601,156725,109567,47158,145499,61059,84440,4,1,3
121,18 AND ABOVE,62243,49067,13176,31962,28050,3912,30278,21014,9264,3,3,
122,18 AND ABOVE,297329,214705,82624,149332,124664,24668,147949,90011,57938,48,30,18
123,18 AND ABOVE,986488,733230,253258,520885,432984,87901,465354,300080,165274,249,166,83
124,18 AND ABOVE,80911,45173,35738,40558,32496,8062,40352,12677,27675,1,1,
125,18 AND ABOVE,34204,24861,9343,17554,14057,3497,16637,10799,5838,13,5,8
126,18 AND ABOVE,84921,37281,47640,43308,25263,18045,41613,12018,29595,,,
127,OVERALL
18 AND ABOVE,7041,2748,4293,3660,1799,1861,3379,948,2431,2,1,1
128,18 AND ABOVE,74236,57746,16490,37129,31491,5638,37087,26241,10846,20,14,6
129,18 AND ABOVE,72317,54370,17947,37382,30950,6432,34926,23412,11514,9,8,1
130,18 AND ABOVE,104903,75118,29785,54018,43683,10335,50880,31433,19447,5,2,3
131,18 AND ABOVE,138644,94917,43727,71565,56081,15484,67066,38828,28238,13,8,5
132,18 AND ABOVE,61866,48687,13179,31232,27546,3686,30625,21134,9491,9,7,2
133,18 AND ABOVE,51405,37323,14082,24890,21188,3702,26515,16135,10380,,,
134,18 AND ABOVE,108540,83557,24983,56003,47673,8330,52536,35883,16653,1,1,
135,18 AND ABOVE,587664,545699,41965,305452,293338,12114,282100,252258,29842,112,103,9
