ward_id_15,region_15,district_15,ward_15,region_10,district_10,ward_10,parent_overlap_pct,ward_id_10
147,arusha,wilaya ya ngorongoro,ngorongoro,,,,,
148,arusha,wilaya ya ngorongoro,olbalbal,,,,,
149,arusha,wilaya ya ngorongoro,oldonyosambu,,,,,
150,arusha,wilaya ya ngorongoro,oloipiri,,,,,
151,arusha,wilaya ya ngorongoro,oloirienmagaiduru,,,,,
152,arusha,wilaya ya ngorongoro,ololosokwan,,,,,
153,arusha,wilaya ya ngorongoro,orgosorock,,,,,
154,arusha,wilaya ya ngorongoro,pinyinyi,,,,,
155,arusha,wilaya ya ngorongoro,piyaya,,,,,
156,arusha,wilaya ya ngorongoro,sale,,,,,
157,arusha,wilaya ya ngorongoro,samunge,,,,,
158,arusha,wilaya ya ngorongoro,soitsambu,,,,,
159,dar es salaam,manispaa ya ilala,bonyokwa,,,,,
160,dar es salaam,manispaa ya ilala,buguruni,,,,,
161,dar es salaam,manispaa ya ilala,buyuni,,,,,
162,dar es salaam,manispaa ya ilala,chanika,,,,,
163,dar es salaam,manispaa ya ilala,gerezani,,,,,
164,dar es salaam,manispaa ya ilala,gongolamboto,,,,,
165,dar es salaam,manispaa ya ilala,ilala,,,,,
166,dar es salaam,manispaa ya ilala,jangwani,,,,,
167,dar es salaam,manispaa ya ilala,kariakoo,,,,,
168,dar es salaam,manispaa ya ilala,kimanga,,,,,
169,dar es salaam,manispaa ya ilala,kinyerezi,,,,,
170,dar es salaam,manispaa ya ilala,kipawa,,,,,
171,dar es salaam,manispaa ya ilala,kipunguni,,,,,
172,dar es salaam,manispaa ya ilala,kisukuru,,,,,
173,dar es salaam,manispaa ya ilala,kisutu,,,,,
174,dar es salaam,manispaa ya ilala,kitunda,,,,,
175,dar es salaam,manispaa ya ilala,kivukoni,,,,,
176,dar es salaam,manispaa ya ilala,kivule,,,,,
177,dar es salaam,manispaa ya ilala,kiwalani,,,,,
178,dar es salaam,manispaa ya ilala,liwiti,,,,,
179,dar es salaam,manispaa ya ilala,majohe,,,,,
180,dar es salaam,manispaa ya ilala,mchafukoge,,,,,
181,dar es salaam,manispaa ya ilala,mchikichini,,,,,
182,dar es salaam,manispaa ya ilala,minazi mirefu,,,,,
183,dar es salaam,manispaa ya ilala,mnyamani,,,,,
184,dar es salaam,manispaa ya ilala,msongola,,,,,
185,dar es salaam,manispaa ya ilala,mzinga,,,,,
186,dar es salaam,manispaa ya ilala,pugu,,,,,
187,dar es salaam,manispaa ya ilala,pugu station,,,,,
188,dar es salaam,manispaa ya ilala,segerea,,,,,
189,dar es salaam,manispaa ya ilala,tabata,,,,,
190,dar es salaam,manispaa ya ilala,ukonga,,,,,
191,dar es salaam,manispaa ya ilala,upanga magharibi,,,,,
192,dar es salaam,manispaa ya ilala,upanga mashariki,,,,,
193,dar es salaam,manispaa ya ilala,vingunguti,,,,,
194,dar es salaam,manispaa ya ilala,zingiziwa,,,,,
195,dar es salaam,manispaa ya kinondoni,bunju,,,,,
196,dar es salaam,manispaa ya kinondoni,goba,,,,,
197,dar es salaam,manispaa ya kinondoni,hananasif,,,,,
198,dar es salaam,manispaa ya kinondoni,kawe,,,,,
199,dar es salaam,manispaa ya kinondoni,kibamba,,,,,
200,dar es salaam,manispaa ya kinondoni,kigogo,,,,,
201,dar es salaam,manispaa ya kinondoni,kijitonyama,,,,,
202,dar es salaam,manispaa ya kinondoni,kimara,,,,,
203,dar es salaam,manispaa ya kinondoni,kinondoni,,,,,
204,dar es salaam,manispaa ya kinondoni,kunduchi,,,,,
205,dar es salaam,manispaa ya kinondoni,kwembe,,,,,
206,dar es salaam,manispaa ya kinondoni,mabibo,,,,,
207,dar es salaam,manispaa ya kinondoni,mabwe bande,,,,,
208,dar es salaam,manispaa ya kinondoni,magomeni,,,,,
209,dar es salaam,manispaa ya kinondoni,makongo,,,,,
210,dar es salaam,manispaa ya kinondoni,makuburi,,,,,
211,dar es salaam,manispaa ya kinondoni,makumbusho,,,,,
212,dar es salaam,manispaa ya kinondoni,makurumla,,,,,
213,dar es salaam,manispaa ya kinondoni,manzese,,,,,
214,dar es salaam,manispaa ya kinondoni,mbezi,,,,,
215,dar es salaam,manispaa ya kinondoni,mbezi juu,,,,,
216,dar es salaam,manispaa ya kinondoni,mburahati,,,,,
217,dar es salaam,manispaa ya kinondoni,mbweni,,,,,
218,dar es salaam,manispaa ya kinondoni,mikocheni,,,,,
219,dar es salaam,manispaa ya kinondoni,msasani,,,,,
220,dar es salaam,manispaa ya kinondoni,msigani,,,,,
221,dar es salaam,manispaa ya kinondoni,mwananyamala,,,,,
222,dar es salaam,manispaa ya kinondoni,mzimuni,,,,,
223,dar es salaam,manispaa ya kinondoni,ndugumbi,,,,,
224,dar es salaam,manispaa ya kinondoni,saranga,,,,,
225,dar es salaam,manispaa ya kinondoni,sinza,,,,,
226,dar es salaam,manispaa ya kinondoni,tandale,,,,,
227,dar es salaam,manispaa ya kinondoni,ubungo,,,,,
228,dar es salaam,manispaa ya kinondoni,wazo,,,,,
229,dar es salaam,manispaa ya temeke,azimio,,,,,
230,dar es salaam,manispaa ya temeke,buza,,,,,
231,dar es salaam,manispaa ya temeke,chamazi,,,,,
232,dar es salaam,manispaa ya temeke,changombe,,,,,
233,dar es salaam,manispaa ya temeke,charambe,,,,,
234,dar es salaam,manispaa ya temeke,keko,,,,,
235,dar es salaam,manispaa ya temeke,kibada,,,,,
236,dar es salaam,manispaa ya temeke,kibondemaji,,,,,
237,dar es salaam,manispaa ya temeke,kiburugwa,,,,,
238,dar es salaam,manispaa ya temeke,kigamboni,,,,,
239,dar es salaam,manispaa ya temeke,kijichi,,,,,
240,dar es salaam,manispaa ya temeke,kilakala,,,,,
241,dar es salaam,manispaa ya temeke,kilungule,,,,,
242,dar es salaam,manispaa ya temeke,kimbiji,,,,,
243,dar es salaam,manispaa ya temeke,kisarawe ii,,,,,
244,dar es salaam,manispaa ya temeke,kurasini,,,,,
245,dar es salaam,manispaa ya temeke,makangarawe,,,,,
246,dar es salaam,manispaa ya temeke,mbagala,,,,,
247,dar es salaam,manispaa ya temeke,mbagala kuu,,,,,
248,dar es salaam,manispaa ya temeke,mianzini,,,,,
249,dar es salaam,manispaa ya temeke,miburani,,,,,
250,dar es salaam,manispaa ya temeke,mjimwema,,,,,
251,dar es salaam,manispaa ya temeke,mtoni,,,,,
252,dar es salaam,manispaa ya temeke,pemba mnazi,,,,,
253,dar es salaam,manispaa ya temeke,sandali,,,,,
254,dar es salaam,manispaa ya temeke,somangila,,,,,
255,dar es salaam,manispaa ya temeke,tandika,,,,,
256,dar es salaam,manispaa ya temeke,temeke,,,,,
257,dar es salaam,manispaa ya temeke,toangoma,,,,,
258,dar es salaam,manispaa ya temeke,tungi,,,,,
259,dar es salaam,manispaa ya temeke,vijibweni,,,,,
260,dar es salaam,manispaa ya temeke,yombo vituka,,,,,
261,dodoma,manispaa ya dodoma,chahwa,,,,,
262,dodoma,manispaa ya dodoma,chamwino,,,,,
263,dodoma,manispaa ya dodoma,changombe,,,,,
264,dodoma,manispaa ya dodoma,chigongwe,,,,,
265,dodoma,manispaa ya dodoma,chihanga,,,,,
266,dodoma,manispaa ya dodoma,dodoma makulu,,,,,
267,dodoma,manispaa ya dodoma,hazina,,,,,
268,dodoma,manispaa ya dodoma,hombolo bwawani,,,,,
269,dodoma,manispaa ya dodoma,hombolo makulu,,,,,
270,dodoma,manispaa ya dodoma,ihumwa,,,,,
271,dodoma,manispaa ya dodoma,ipagala,,,,,
272,dodoma,manispaa ya dodoma,iyumbu,,,,,
273,dodoma,manispaa ya dodoma,kikombo,,,,,
274,dodoma,manispaa ya dodoma,kikuyu kaskazini,,,,,
275,dodoma,manispaa ya dodoma,kikuyu kusini,,,,,
276,dodoma,manispaa ya dodoma,kilimani,,,,,
277,dodoma,manispaa ya dodoma,kiwanja cha ndege,,,,,
278,dodoma,manispaa ya dodoma,kizota,,,,,
279,dodoma,manispaa ya dodoma,madukani,,,,,
280,dodoma,manispaa ya dodoma,majengo,,,,,
281,dodoma,manispaa ya dodoma,makole,,,,,
282,dodoma,manispaa ya dodoma,makutupora,,,,,
283,dodoma,manispaa ya dodoma,matumbulu,,,,,
284,dodoma,manispaa ya dodoma,mbabala,,,,,
285,dodoma,manispaa ya dodoma,mbalawala,,,,,
286,dodoma,manispaa ya dodoma,miyuji,,,,,
287,dodoma,manispaa ya dodoma,mkonze,,,,,
288,dodoma,manispaa ya dodoma,mnadani,,,,,
289,dodoma,manispaa ya dodoma,mpunguzi,,,,,
290,dodoma,manispaa ya dodoma,msalato,,,,,
291,dodoma,manispaa ya dodoma,mtumba,,,,,
292,dodoma,manispaa ya dodoma,nala,,,,,
293,dodoma,manispaa ya dodoma,ngongonha,,,,,
294,dodoma,manispaa ya dodoma,nkuhungu,,,,,
295,dodoma,manispaa ya dodoma,ntyuka,,,,,
296,dodoma,manispaa ya dodoma,nzuguni,,,,,
297,dodoma,manispaa ya dodoma,tambuka reli,,,,,
298,dodoma,manispaa ya dodoma,uhuru,,,,,
299,dodoma,manispaa ya dodoma,viwandani,,,,,
300,dodoma,manispaa ya dodoma,zuzu,,,,,
301,dodoma,mji kondoa,bolisa,,,,,
302,dodoma,mji kondoa,chemchem,,,,,
303,dodoma,mji kondoa,kilimani,,,,,
304,dodoma,mji kondoa,kingale,,,,,
305,dodoma,mji kondoa,kolo,,,,,
306,dodoma,mji kondoa,kondoa mjini,,,,,
307,dodoma,mji kondoa,serya,,,,,
308,dodoma,mji kondoa,suruke,,,,,
309,dodoma,wilaya ya bahi,babayu,,,,,
310,dodoma,wilaya ya bahi,bahi,,,,,
311,dodoma,wilaya ya bahi,chali,,,,,
312,dodoma,wilaya ya bahi,chibelela,,,,,
313,dodoma,wilaya ya bahi,chifutuka,,,,,
314,dodoma,wilaya ya bahi,chikola,,,,,
315,dodoma,wilaya ya bahi,chipanga,,,,,
316,dodoma,wilaya ya bahi,ibihwa,,,,,
317,dodoma,wilaya ya bahi,ibugule,,,,,
318,dodoma,wilaya ya bahi,ilindi,,,,,
319,dodoma,wilaya ya bahi,kigwe,,,,,
320,dodoma,wilaya ya bahi,lamaiti,,,,,
321,dodoma,wilaya ya bahi,makanda,,,,,
322,dodoma,wilaya ya bahi,mpalanga,,,,,
323,dodoma,wilaya ya bahi,mpamantwa,,,,,
324,dodoma,wilaya ya bahi,mpinga,,,,,
325,dodoma,wilaya ya bahi,msisi,,,,,
326,dodoma,wilaya ya bahi,mtitaa,,,,,
327,dodoma,wilaya ya bahi,mundemu,,,,,
328,dodoma,wilaya ya bahi,mwitikira,,,,,
329,dodoma,wilaya ya bahi,nondwa,,,,,
330,dodoma,wilaya ya bahi,zanka,,,,,
331,dodoma,wilaya ya chamwino,buigiri,,,,,
332,dodoma,wilaya ya chamwino,chamwino,,,,,
333,dodoma,wilaya ya chamwino,chiboli,,,,,
334,dodoma,wilaya ya chamwino,chilonwa,,,,,
335,dodoma,wilaya ya chamwino,chinugulu,,,,,
336,dodoma,wilaya ya chamwino,dabalo,,,,,
337,dodoma,wilaya ya chamwino,fufu,,,,,
338,dodoma,wilaya ya chamwino,handali,,,,,
339,dodoma,wilaya ya chamwino,haneti,,,,,
340,dodoma,wilaya ya chamwino,huzi,,,,,
341,dodoma,wilaya ya chamwino,idifu,,,,,
342,dodoma,wilaya ya chamwino,igandu,,,,,
343,dodoma,wilaya ya chamwino,ikombolinga,,,,,
344,dodoma,wilaya ya chamwino,ikowa,,,,,
345,dodoma,wilaya ya chamwino,iringa mvumi,,,,,
346,dodoma,wilaya ya chamwino,itiso,,,,,
347,dodoma,wilaya ya chamwino,loje,,,,,
348,dodoma,wilaya ya chamwino,majeleko,,,,,
349,dodoma,wilaya ya chamwino,makangwa,,,,,
350,dodoma,wilaya ya chamwino,manchali,,,,,
351,dodoma,wilaya ya chamwino,manda,,,,,
352,dodoma,wilaya ya chamwino,manzase,,,,,
353,dodoma,wilaya ya chamwino,membe,,,,,
354,dodoma,wilaya ya chamwino,mlowa barabarani,,,,,
355,dodoma,wilaya ya chamwino,mlowa bwawani,,,,,
356,dodoma,wilaya ya chamwino,mpwayungu,,,,,
357,dodoma,wilaya ya chamwino,msamalo,,,,,
358,dodoma,wilaya ya chamwino,msanga,,,,,
359,dodoma,wilaya ya chamwino,muungano,,,,,
360,dodoma,wilaya ya chamwino,mvumi makulu,,,,,
361,dodoma,wilaya ya chamwino,mvumi misheni,,,,,
362,dodoma,wilaya ya chamwino,nghahelezi,,,,,
363,dodoma,wilaya ya chamwino,nghambaku,,,,,
364,dodoma,wilaya ya chamwino,nhinhi,,,,,
365,dodoma,wilaya ya chamwino,segala,,,,,
366,dodoma,wilaya ya chamwino,zajilwa,,,,,
367,dodoma,wilaya ya chemba,babayu,,,,,
368,dodoma,wilaya ya chemba,chandama,,,,,
369,dodoma,wilaya ya chemba,chemba,,,,,
370,dodoma,wilaya ya chemba,churuku,,,,,
371,dodoma,wilaya ya chemba,dalai,,,,,
372,dodoma,wilaya ya chemba,farkwa,,,,,
373,dodoma,wilaya ya chemba,goima,,,,,
374,dodoma,wilaya ya chemba,gwandi,,,,,
375,dodoma,wilaya ya chemba,jangalo,,,,,
376,dodoma,wilaya ya chemba,kidoka,,,,,
377,dodoma,wilaya ya chemba,kimaha,,,,,
378,dodoma,wilaya ya chemba,kinyamsindo,,,,,
379,dodoma,wilaya ya chemba,kwamtoro,,,,,
380,dodoma,wilaya ya chemba,lahoda,,,,,
381,dodoma,wilaya ya chemba,lalta,,,,,
382,dodoma,wilaya ya chemba,makorongo,,,,,
383,dodoma,wilaya ya chemba,mondo,,,,,
384,dodoma,wilaya ya chemba,mpendo,,,,,
385,dodoma,wilaya ya chemba,mrijo,,,,,
386,dodoma,wilaya ya chemba,msaada,,,,,
387,dodoma,wilaya ya chemba,ovada,,,,,
388,dodoma,wilaya ya chemba,paranga,,,,,
389,dodoma,wilaya ya chemba,sanzawa,,,,,
