hh1,hh2,b04_district,strate,b05_region,b06_departemen,b07_souspref,b08_commune,b09_zd,b10_nomvillag,b11_quartcpt,milieu,pop_density
389,1,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60620,MOUSSADOUGOU,BAKWE,Rural,233.7944593386953
375,11,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60810,NONOUA,BOFLAPLA,Rural,233.7944593386953
386,1,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60090,GOREKE,KROUMIN,Rural,233.7944593386953
365,7,3,san-pedro,san-pedro,san-pedro,doba,non communal,60190,DAGADJI,JOSEPH CARREFOUR,Rural,233.7944593386953
375,7,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60810,NONOUA,TCHEGBEKRO,Rural,233.7944593386953
372,3,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60090,BRAZZAVILLE,DIOULAKRO,Rural,233.7944593386953
367,2,3,san-pedro,san-pedro,san-pedro,doba,non communal,60530,GLIGBEADJI,CATHOLIQUE,Rural,233.7944593386953
364,9,3,san-pedro,san-pedro,san-pedro,doba,non communal,60140,DAGADJI,PETIT PARIS,Rural,233.7944593386953
365,4,3,san-pedro,san-pedro,san-pedro,doba,non communal,60190,DAGADJI,GERMAINKRO,Rural,233.7944593386953
367,8,3,san-pedro,san-pedro,san-pedro,doba,non communal,60530,GUGBEUADJI,DJOULABOUGOU,Rural,233.7944593386953
367,3,3,san-pedro,san-pedro,san-pedro,doba,non communal,60539,GLIGBEADJI,,Rural,233.7944593386953
368,11,3,san-pedro,san-pedro,san-pedro,doba,non communal,60600,GLIGBEUADJI,ADINGRAKRO,Rural,233.7944593386953
367,6,3,san-pedro,san-pedro,san-pedro,doba,non communal,60530,GUGBEUADJI,GUGBEUADJI,Rural,233.7944593386953
382,12,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,1030,SAN PEDRO ZIMBABWE,ZIMBABWE,Urbain,233.7944593386953
372,5,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60090,GABIADJI,BRAZAVILLE,Rural,233.7944593386953
389,11,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60620,MOUSSADOUGOU,JERUSALEM,Rural,233.7944593386953
366,5,3,san-pedro,san-pedro,san-pedro,doba,non communal,60250,DAGADJI,BRAHIMAKRO,Rural,233.7944593386953
389,7,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60620,MOUSSADOUGOU,JERUSALEM,Rural,233.7944593386953
369,5,3,san-pedro,san-pedro,san-pedro,dogbo,non communal,60010,MANA,,Rural,233.7944593386953
368,4,3,san-pedro,san-pedro,san-pedro,doba,non communal,60600,GUGBEUAGUI,BADOCKRO,Rural,233.7944593386953
368,1,3,san-pedro,san-pedro,san-pedro,doba,non communal,60600,GLIGBEUADJI,JULEKRO,Rural,233.7944593386953
366,2,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,60250,DAGADJI,BRAHIMAKRO,Rural,233.7944593386953
365,3,3,san-pedro,san-pedro,san-pedro,doba,non communal,60190,DAGADJI,GERMAINKRO,Rural,233.7944593386953
384,8,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,1440,SAN PEDRO,THANRY OU CMA,Urbain,233.7944593386953
364,8,3,san-pedro,san-pedro,san-pedro,doba,non communal,60140,DAGADJI,PETIT PARIS,Rural,233.7944593386953
379,4,3,san-pedro,san-pedro,san-pedro,grand-bereby,non communal,60980,ADJAMENE,ADJAMENE,Rural,233.7944593386953
365,5,3,san-pedro,san-pedro,san-pedro,doba,non communal,60190,DAGADJI,GERMAINKRO,Rural,233.7944593386953
382,4,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,1030,SAN PEDRO,ZIMBABWE,Urbain,233.7944593386953
379,11,3,san-pedro,san-pedro,san-pedro,grand-bereby,communal,60980,ADJAMENE,ADJAMENE,Rural,233.7944593386953
373,11,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60780,GROBONOU DAN,GROBONOU DAN,Rural,233.7944593386953
366,7,3,san-pedro,san-pedro,san-pedro,doba,non communal,60250,DAGADJI,BRAHIMAKRO,Rural,233.7944593386953
370,3,3,san-pedro,san-pedro,san-pedro,dogbo,non communal,60300,MAGNERY,OUSOUMANDOUGOU,Rural,233.7944593386953
376,3,3,san-pedro,san-pedro,san-pedro,grand-bereby,communal,30,GRAND BEREBY,GBOWE,Urbain,233.7944593386953
371,10,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,40130,GABIADJI,DIOULA,Urbain,233.7944593386953
366,3,3,san-pedro,san-pedro,san-pedro,doba,non communal,60250,DAGADJI,BRAHIMAKRO,Rural,233.7944593386953
366,4,3,san-pedro,san-pedro,san-pedro,doba,non communal,60250,GABADJI,BRAHIMAKRO,Rural,233.7944593386953
378,12,3,san-pedro,san-pedro,san-pedro,dogbo,non communal,60100,KAKO,YAOKRO,Rural,233.7944593386953
385,9,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,900,SAN PEDRO,BARDOT,Urbain,233.7944593386953
378,1,3,san-pedro,san-pedro,san-pedro,grand-bereby,non communal,60420,KAKO,GOHOUKRO,Rural,233.7944593386953
390,4,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60770,WATTE,BELEM 2,Rural,233.7944593386953
369,9,3,san-pedro,san-pedro,san-pedro,dogbo,non communal,369,MANA,MANA,Rural,233.7944593386953
366,10,3,san-pedro,san-pedro,san-pedro,doba,non communal,60250,DAGADJI,BRAHIMAKRO,Rural,233.7944593386953
364,6,3,san-pedro,san-pedro,san-pedro,doba,non communal,60140,DAGADJI,PETIT PARIS,Rural,233.7944593386953
377,6,3,san-pedro,san-pedro,san-pedro,grand-bereby,non communal,780,GRAND BEREBY,NEONNIE 2,Rural,233.7944593386953
390,2,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,888,WATTE,BELEM 2,Rural,233.7944593386953
385,2,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,900,SAN PEDRO,BADOT,Urbain,233.7944593386953
376,4,3,san-pedro,san-pedro,san-pedro,grand-bereby,communal,30,5GRAND BEREBY,GRAND BEREBY,Urbain,233.7944593386953
387,12,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60220,DJIRO GNEPAHO,KROUMEN,Rural,233.7944593386953
389,9,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60620,MOUSSADOUGOU,JERUSALEM,Rural,233.7944593386953
386,10,3,san-pedro,san-pedro,san-pedro,dogbo,non communal,60010,MANA,PAULKRO,Rural,233.7944593386953
374,7,3,san-pedro,san-pedro,san-pedro,gabiadji,non communal,60800,NONOUA,,Rural,233.7944593386953
370,8,3,san-pedro,san-pedro,san-pedro,dogbo,non communal,60300,MAGNERY,OUSMANDOUGOU,Rural,233.7944593386953
368,8,3,san-pedro,san-pedro,san-pedro,doba,non communal,60600,GLIGBEUADJI,JULEKRO,Rural,233.7944593386953
378,11,3,san-pedro,san-pedro,san-pedro,dogbo,non communal,9,KAKO,YAOKRO,Rural,233.7944593386953
388,1,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60230,DJIRO GNEPAHIO,SOKOURANI,Rural,233.7944593386953
378,9,3,san-pedro,san-pedro,san-pedro,dogbo,non communal,60420,SYNALYKRO,SYNALYKRO,Rural,233.7944593386953
377,7,3,san-pedro,san-pedro,san-pedro,grand-bereby,non communal,780,GRAND BEREBY,NEONNIE 2,Rural,233.7944593386953
390,1,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,444,WATTE,BELEM 2,Rural,233.7944593386953
380,7,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,160,SAN PEDRO,SONOUKO,Urbain,233.7944593386953
390,8,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,60770,WATTE,BELEM2,Rural,233.7944593386953
382,9,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,1030,SAN PEDRO ZIMBABWE,ZIMBABWE,Urbain,233.7944593386953
379,12,3,san-pedro,san-pedro,san-pedro,grand-bereby,non communal,60980,ADJAMENE,ADJAMENE,Rural,233.7944593386953
377,3,3,san-pedro,san-pedro,san-pedro,grand-bereby,non communal,60180,OUESSEKE,OUESSEKE,Rural,233.7944593386953
365,2,3,san-pedro,san-pedro,san-pedro,doba,non communal,60190,DAGADY,GERMAINKRO,Rural,233.7944593386953
376,7,3,san-pedro,san-pedro,san-pedro,grand-bereby,communal,30,GRAND BEREBY,GBOWE,Urbain,233.7944593386953
365,11,3,san-pedro,san-pedro,san-pedro,doba,non communal,60190,DAGADJI,JEOSEPHE CAREFOUR,Rural,233.7944593386953
382,6,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,1060,SAN PEDRO,ZIMBABWE,Urbain,233.7944593386953
368,6,3,san-pedro,san-pedro,san-pedro,doba,non communal,60600,GUGBEUAGUI,BROUKRO,Rural,233.7944593386953
384,1,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,1440,SAN PEDRO,CMA,Urbain,233.7944593386953
390,5,3,san-pedro,san-pedro,san-pedro,san-pedro,non communal,4444,WATTE,BELEM 2,Rural,233.7944593386953
380,1,3,san-pedro,san-pedro,san-pedro,san-pedro,communal,160,SAN PEDRO,SONOUKO,Urbain,233.7944593386953
