sheet_id,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
111,140076,140076,140076,140076,140076,140076,140076,140076,140076,140076,140076,140076
112,428336,428336,428336,428336,428336,428336,428336,428336,428336,428336,428336,428336
113,120620,120620,120620,120620,120620,120620,120620,120620,120620,120620,120620,120620
114,229578,229578,229578,229578,229578,229578,229578,229578,229578,229578,229578,229578
115,65523,65523,65523,65523,65523,65523,65523,65523,65523,65523,65523,65523
116,139702,139702,139702,139702,139702,139702,139702,139702,139702,139702,139702,139702
117,210395,210395,210395,210395,210395,210395,210395,210395,210395,210395,210395,210395
118,87477,87477,87477,87477,87477,87477,87477,87477,87477,87477,87477,87477
119,99918,99918,99918,99918,99918,99918,99918,99918,99918,99918,99918,99918
120,302228,302228,302228,302228,302228,302228,302228,302228,302228,302228,302228,302228
121,84777,84777,84777,84777,84777,84777,84777,84777,84777,84777,84777,84777
122,297329,297329,297329,297329,297329,297329,297329,297329,297329,297329,297329,297329
123,986488,986488,986488,986488,986488,986488,986488,986488,986488,986488,986488,986488
124,121542,121542,121542,121542,121542,121542,121542,121542,121542,121542,121542,121542
125,46896,46896,46896,46896,46896,46896,46896,46896,46896,46896,46896,46896
126,92316,92316,92316,92316,92316,92316,92316,92316,92316,92316,92316,92316
127,93028,93028,93028,93028,93028,93028,93028,93028,93028,93028,93028,93028
128,75983,75983,75983,75983,75983,75983,75983,75983,75983,75983,75983,75983
129,78068,78068,78068,78068,78068,78068,78068,78068,78068,78068,78068,78068
130,129131,129131,129131,129131,129131,129131,129131,129131,129131,129131,129131,129131
131,171415,171415,171415,171415,171415,171415,171415,171415,171415,171415,171415,171415
132,67390,67390,67390,67390,67390,67390,67390,67390,67390,67390,67390,67390
133,51405,51405,51405,51405,51405,51405,51405,51405,51405,51405,51405,51405
134,132215,132215,132215,132215,132215,132215,132215,132215,132215,132215,132215,132215
135,1193917,1193917,1193917,1193917,1193917,1193917,1193917,1193917,1193917,1193917,1193917,1193917
